파사, 44, 199
자바, 94, 186
차가, 85, 152
하나, 98, 168
라나, 93, 176
라자, 59, 180
나아, 75, 189
파차, 66, 151
다타, 87, 188
아아, 96, 153
차카, 44, 157
자마, 60, 162
나가, 89, 199
파사, 63, 187
마하, 57, 153
파하, 53, 197
나파, 44, 195
나사, 44, 199
아카, 71, 159
라가, 81, 180
마가, 86, 176
사타, 87, 165
타차, 74, 196
아나, 51, 196
타가, 41, 177
사하, 46, 181
바다, 58, 162
사나, 59, 191
차가, 80, 170
차아, 42, 153
차사, 42, 156
카파, 54, 159
다아, 70, 172
다바, 47, 192
바나, 50, 161
나바, 74, 153
나라, 51, 161
타타, 46, 184
다라, 82, 170
바가, 67, 167
라차, 97, 173
파사, 82, 171
다바, 52, 155
아자, 58, 165
라마, 78, 181
다라, 64, 150
다하, 96, 161
자하, 59, 186
차카, 49, 163
타자, 67, 167
카사, 89, 196
가마, 49, 168
차카, 91, 163
마다, 79, 151
다마, 83, 165
자다, 53, 181
하바, 40, 169
타라, 84, 196
가카, 82, 195
나아, 56, 182
파자, 66, 160
라카, 70, 170
다사, 80, 155
나마, 66, 178
라사, 78, 163
파사, 66, 155
사라, 79, 195
가파, 63, 188
마파, 41, 191
타아, 97, 194
다마, 81, 190
가다, 41, 160
카자, 55, 150
나파, 47, 174
자카, 51, 153
마타, 71, 170
하차, 99, 187
아타, 57, 178
나아, 41, 180
라라, 85, 198
카하, 61, 193
바마, 57, 158
나아, 94, 180
바다, 52, 150
아아, 51, 167
라자, 94, 189
카차, 77, 185
다차, 99, 191
카다, 61, 186
다하, 49, 185
사마, 90, 150
사라, 42, 196
다하, 77, 167
마카, 94, 172
가하, 59, 164
나타, 83, 186
카하, 50, 180
바아, 78, 193
타사, 43, 182
라아, 77, 169
카아, 50, 186
카마, 58, 178
가사, 78, 193
아하, 54, 189
자사, 44, 184
파자, 85, 164
하바, 66, 150
파사, 74, 185
하라, 76, 175
하파, 67, 189
가다, 84, 161
가나, 58, 183
차파, 84, 181
마아, 47, 193
가사, 85, 165
나다, 71, 181
하아, 68, 156
자나, 82, 172
가마, 89, 187
나차, 85, 156
하자, 65, 156
타마, 96, 154
하자, 47, 173
다라, 66, 151
타다, 61, 158
자마, 49, 164
카파, 79, 170
차사, 79, 150
바마, 81, 179
카하, 48, 193
카다, 54, 158
차마, 79, 186
바바, 92, 195
아마, 83, 189
파나, 76, 191
바파, 60, 197
카파, 44, 192
가아, 58, 167
나파, 85, 196
다파, 75, 181
마파, 51, 164
하마, 75, 154
다타, 97, 164
타가, 94, 178
카바, 98, 187
카사, 55, 175
하타, 68, 158
카카, 62, 181
사타, 77, 177
사다, 72, 174
파하, 46, 172
아하, 94, 188
나가, 72, 190
아타, 51, 158
사타, 96, 151
라다, 46, 157
다자, 53, 182
자차, 82, 168
라자, 82, 166
카아, 76, 192
마자, 65, 190
바아, 62, 176
마마, 76, 159
타라, 94, 191
타사, 72, 151
나가, 71, 196
카나, 72, 165
사바, 55, 162
하바, 53, 154
다라, 59, 189
자파, 41, 166
사타, 47, 185
하자, 63, 177
타차, 85, 174
타가, 96, 152
가자, 62, 162
바하, 44, 183
타카, 52, 162
다자, 79, 168
가파, 77, 190
차파, 51, 178
파타, 67, 181
파타, 79, 161
하타, 83, 151
마다, 95, 191
파차, 71, 163
가다, 98, 154
나마, 44, 166
마다, 85, 193
바바, 86, 169
파마, 83, 159
사가, 91, 194
사가, 92, 151
바다, 41, 188
가아, 67, 172
마파, 85, 184
다바, 42, 163
자마, 95, 183
바아, 85, 191
파바, 73, 172
바차, 90, 155
파하, 58, 150
자바, 98, 163
마라, 43, 168
라타, 84, 159
가하, 66, 152
라다, 81, 162
가라, 91, 164
바다, 84, 167
마사, 46, 199
카하, 46, 163
나사, 98, 196
파하, 54, 158
하바, 80, 188
아가, 96, 150
라나, 52, 181
사나, 84, 177
바라, 73, 158
나나, 46, 191
마바, 81, 158
다라, 42, 154
마아, 67, 175
아자, 66, 150
가타, 84, 191
마바, 42, 179
파라, 98, 180
가나, 86, 189
나타, 99, 181
가타, 62, 165
카가, 77, 166
파하, 48, 196
바사, 59, 177
다아, 90, 196
파자, 62, 198
가카, 89, 184
라사, 79, 181
카자, 94, 150
자가, 55, 186
바아, 99, 184
하아, 50, 153
아자, 59, 167
아나, 40, 156
사타, 52, 176
라차, 81, 172
라라, 43, 152
가파, 90, 189
다타, 96, 177
사아, 74, 151
마자, 75, 186
카아, 92, 167
마자, 57, 157
파아, 94, 196
바가, 41, 154
나가, 85, 173
하나, 64, 179
사자, 98, 151
차마, 60, 189
바가, 69, 164
카파, 66, 166
아마, 70, 181
자가, 94, 197
차가, 59, 186
하파, 83, 158
바마, 83, 154
라라, 73, 181
타파, 78, 177
바타, 58, 186
나카, 56, 173
카아, 84, 170
마하, 50, 178
마타, 43, 185
가사, 91, 177
바카, 60, 199
자가, 88, 156
나사, 88, 187
타라, 76, 165
사마, 59, 191
하하, 68, 155
차카, 86, 152
하하, 41, 159
아라, 69, 155
아차, 70, 160
다카, 50, 197
타자, 42, 184
사마, 47, 185
사사, 45, 157
마다, 60, 181
카카, 53, 186
카가, 72, 173
아사, 44, 159
자파, 68, 165
아하, 72, 151
나자, 52, 150
타카, 82, 177
자하, 83, 170
자나, 48, 155
다아, 98, 191
라바, 96, 183
바나, 71, 190
바하, 89, 155
사파, 49, 151
가타, 55, 161
다나, 47, 190
하사, 92, 160
차차, 73, 184
타하, 67, 159
타다, 98, 150
